timestep,mean_return,std_return,mean_ep_len,return_per_step
1000,181.49208099618554,0.5140449560524216,146.2,1.2413959028466863
2000,181.22419504076242,0.0,146.0,1.2412616098682359
3000,40.68647237140685,4.593661673720986,52.8,0.770577128246342
4000,36.046820142120126,1.8144357039439745,54.0,0.6675337063355579
5000,28.17363305091858,1.0505434035609638,22.4,1.2577514754874366
6000,27.649386525154114,7.309775217416712e-07,22.0,1.2567902965979143
7000,18.935458517074586,0.5082098779216899,15.2,1.2457538498075387
8000,18.680430054664612,1.6198608144015828e-05,15.0,1.2453620036443074
9000,13.1364239692688,0.014203221156844954,11.0,1.194220360842618
10000,13.147086834907531,2.617445119223624e-05,11.0,1.1951897122643211
11000,10.083323502540589,0.020238651014138825,9.0,1.1203692780600654
12000,10.062243819236755,0.0004056245773392343,9.0,1.1180270910263062
13000,9.969835114479064,0.014040044292223015,9.0,1.1077594571643405
14000,9.970663499832153,7.013067813328139e-05,9.0,1.1078514999813502
15000,8.553724646568298,0.01925229457487548,8.0,1.0692155808210373
16000,8.535854482650757,0.0005365695729681951,8.0,1.0669818103313446
17000,8.476673102378845,0.008609235056950085,8.0,1.0595841377973556
18000,8.485925161838532,0.00010163365261937147,8.0,1.0607406452298165
19000,10.212423276901244,0.05965008216227508,9.0,1.1347136974334715
20000,10.266267585754395,0.0007226826161499489,9.0,1.140696398417155
21000,11.771374273300172,0.03640408401927797,10.0,1.1771374273300172
22000,11.792835569381714,0.000896560697612238,10.0,1.1792835569381714
23000,12.505937457084656,0.6117342403900707,10.4,1.2024939862581399
24000,12.0222722530365,0.00925360570179922,10.0,1.20222722530365
25000,13.387306702136993,0.017528686566811662,11.0,1.2170278820124538
26000,13.390984857082367,0.0001302894852972426,11.0,1.2173622597347606
27000,14.676810872554778,0.03176043898678269,12.0,1.2230675727128981
28000,14.655373024940491,0.00011144999080489173,12.0,1.2212810854117075
29000,16.048759853839876,0.018164254620261423,13.0,1.2345199887569136
30000,16.02868664264679,0.0006337391879888137,13.0,1.2329758955882146
31000,18.66343836784363,0.006272105767199722,15.0,1.2442292245229085
32000,18.66720016002655,0.00010565695193033463,15.0,1.2444800106684366
33000,21.50774748325348,0.5006368272535647,17.2,1.2504504350728767
34000,21.261399483680727,0.00046177362787826746,17.0,1.2506705578635722
35000,21.271413493156434,0.016018621046421485,17.0,1.251259617244496
36000,21.261749362945558,2.2055123258652327e-05,17.0,1.2506911389967976
37000,22.482896995544433,0.018390930445903488,18.0,1.2490498330858018
38000,22.473479628562927,2.319617964042248e-05,18.0,1.2485266460312738
39000,24.886098504066467,0.5095755083179688,19.8,1.2568736618215388
40000,25.142924976348876,0.0002377299090165787,20.0,1.2571462488174439
41000,32.286545050446875,5.64285610093962,32.4,0.9964983040261381
42000,30.22985139042139,5.292126788109213,28.8,1.049647617722965
43000,31.69202422488015,6.207528670470997,32.6,0.9721479823582868
44000,30.359440225269644,4.875664591109869,29.2,1.0397068570297823
45000,30.93334040120244,4.804849759189832,29.8,1.0380315570873302
46000,29.847464525699614,1.7945396711122772,24.2,1.23336630271486
47000,31.03654010295868,0.0007567332109058607,25.0,1.241461604118347
48000,30.20635426044464,0.5038948265457746,24.2,1.248196457043167
49000,29.949805092811584,0.00010116335468044926,24.0,1.247908545533816
50000,29.504231810569763,0.5159773992525115,23.8,1.2396736054861244
51000,28.9496600151062,0.5693946428703379,23.4,1.2371649579105215
52000,31.213326478004454,0.030973451209350793,25.0,1.2485330591201782
53000,31.246287631988526,0.00022397925792104131,25.0,1.2498515052795411
54000,34.16414430141449,0.011550069023329536,27.0,1.2653386778301663
55000,34.16963634490967,3.346478031810744e-05,27.0,1.2655420868485063
56000,42.797001767158505,0.21241514573406112,33.8,1.266183484235459
57000,42.885781180858615,1.7740545277028435e-05,34.0,1.261346505319371
58000,44.363754665851594,0.22032813421222017,36.0,1.2323265184958776
59000,44.337281334400174,9.763436146646408e-05,36.0,1.2315911481777826
60000,49.23335593342781,0.3802117139926389,41.4,1.1892114959765172
61000,49.16628001332283,0.01055421819271595,41.0,1.1991775613005569
62000,56.19417930431664,0.7284798180568922,47.8,1.175610445697001
63000,56.768623914569616,0.033808321460706656,48.0,1.182679664886867
64000,55.630015349388124,0.6783698828057833,41.6,1.3372599843602915
65000,56.17448284626007,0.0003596965515722132,42.0,1.337487686815716
66000,57.27697758674621,0.05981163397823125,43.0,1.3320227345754934
67000,57.30703475475311,0.01193483542820747,43.0,1.3327217384826304
68000,55.06474769115448,0.022114263396570855,42.0,1.3110654212179638
69000,55.08401167392731,0.0001871439600047651,42.0,1.3115240874744596
70000,56.360301446914676,0.1185658089738158,44.0,1.2809159419753335
71000,56.45410087108612,0.003204156825695048,44.0,1.2830477470701391
72000,79.05885791778564,10.458972842920367,61.6,1.2834230181458708
73000,72.66374551057815,9.715909729367276,57.2,1.2703452012338836
74000,73.44610221385956,15.513094657259078,57.8,1.2706938099283662
75000,75.05050278902054,9.800025431464618,58.8,1.2763690950513698
76000,87.38108363151551,7.201387652050954,67.4,1.2964552467583903
77000,90.07586328983307,3.901326310133127,68.4,1.3168985861086704
78000,100.13013699054719,4.568867802042211,76.2,1.314043792526866
79000,99.32128200531005,6.422579998049344,74.4,1.334963467813307
80000,129.35785052776336,6.147824946891298,91.4,1.415293769450365
81000,124.21300867795944,10.670120466564784,89.0,1.3956517828984207
82000,125.02848341464997,2.5559507055291766,99.0,1.2629139738853532
83000,119.30450297594071,4.2290904039730375,89.4,1.3345022704243925
84000,116.46146458350123,0.6544318093082556,97.0,1.2006336555000126
85000,116.28521008593961,0.39872781845178573,97.0,1.1988165988241197
86000,116.18837448060512,0.30656881836833494,97.0,1.1978182936144857
87000,82.56509579587728,24.931296553047613,132.2,0.6245468668371958
88000,99.7308160264045,28.154161744090274,129.0,0.7731071009798798
89000,73.61224711248651,6.507037212569521,129.4,0.5688736252896949
90000,76.88472565766423,0.0002621515009571865,129.0,0.5960056252532111
91000,85.52077831644564,1.4217553340866798,130.0,0.6578521408957357
92000,84.81513063823805,7.943101438524807e-05,130.0,0.6524240818326004
93000,120.59163736924529,0.25752835657008794,125.0,0.9647330989539623
94000,120.46632783412933,2.971069636121641e-05,125.0,0.9637306226730347
95000,136.73798786140978,0.5263910977291779,126.0,1.0852221258842045
96000,136.47972625233234,1.9072488207971425e-05,126.0,1.0831724305740662
97000,160.63814915418624,0.16528198620477388,126.0,1.2749059456681446
98000,160.71876872219144,3.2979119761534264e-05,126.0,1.275545783509456
