timestep,mean_return,std_return,mean_ep_len,return_per_step
1000,49.311178999999996,0.7299082483435857,160.6,0.3070434557907845
2000,49.805191,0.0,160.0,0.31128244375
3000,20.104636199999998,0.41180601685424706,30.0,0.67015454
4000,20.2743534,0.00033647204935823255,30.0,0.67581178
5000,22.676924399999997,6.080945139804588,41.0,0.5530957170731706
6000,21.410007200000003,5.681548157744309,40.2,0.5325872437810946
7000,15.520595600000002,5.6514569708689315,19.2,0.8083643541666667
8000,12.839423400000001,0.0010439307639875427,16.0,0.8024639625000001
9000,10.929651799999998,0.6258623274073617,13.4,0.8156456567164178
10000,10.602874400000001,0.00018820159404180797,13.0,0.8156057230769231
11000,9.6191584,0.07673497830220553,12.0,0.8015965333333334
12000,9.573467599999999,0.00011335360602977641,12.0,0.7977889666666665
13000,8.011063,0.011296777328070232,10.0,0.8011063
14000,8.000643199999999,0.0004974428208344096,10.0,0.8000643199999999
15000,7.1536626,0.01264838292589236,9.0,0.7948514
16000,7.141248399999999,0.0003483966704776824,9.0,0.7934720444444444
17000,6.3042538,0.0219798157535497,8.0,0.788031725
18000,6.2834144,0.0011108169246099482,8.0,0.7854268
19000,7.9033956000000005,0.26605829226588684,10.4,0.7599418846153846
20000,8.319686,0.015966404780037392,11.0,0.756335090909091
21000,8.459128199999999,0.025757838747845437,11.0,0.7690116545454544
22000,8.4393002,0.00043089785332477506,11.0,0.7672091090909091
23000,8.929633599999999,0.3632401467930545,11.6,0.7697959999999999
24000,8.7834966,0.3494389678702703,11.4,0.7704821578947367
25000,9.188353,0.10726213729177685,12.0,0.7656960833333333
26000,9.095098400000001,0.0009627939758848344,12.0,0.7579248666666668
27000,10.7051174,0.3254327762611505,13.8,0.7757331449275362
28000,10.8736302,0.004411501485888833,14.0,0.7766878714285713
29000,11.208955000000001,0.015300330885310631,14.0,0.800639642857143
30000,11.2216774,0.0028489459524530455,14.0,0.8015483857142858
31000,13.3674784,0.09482996223261936,16.0,0.8354674
32000,13.408883799999998,0.002029067608533436,16.0,0.8380552374999999
33000,19.3276656,0.11163698214230003,22.0,0.8785302545454545
34000,19.391022,0.07403357211157625,22.0,0.8814100909090908
35000,19.135140999999997,0.2863522368259057,23.0,0.831962652173913
36000,19.1175044,0.41810036640098786,23.0,0.8311958434782609
37000,18.200076599999996,0.6160061164087901,24.4,0.7459047786885245
38000,17.668800799999996,0.3087501240118943,24.6,0.7182439349593494
39000,17.6027724,1.6588060458605283,29.6,0.5946882567567567
40000,17.860397799999998,0.45193717857790827,29.8,0.5993422080536912
41000,31.905929800000003,3.5856595467527264,39.0,0.8181007641025642
42000,33.7021098,0.608006464009521,38.4,0.8776591093750001
43000,33.9330662,0.5884217065871717,38.6,0.8790949792746113
44000,36.447072,0.35923670645244477,36.4,1.001293186813187
45000,36.625603,0.18498667998750828,36.4,1.0061978846153845
46000,33.62055840000001,0.6672731206268095,33.2,1.012667421686747
47000,33.690168,0.44915545722834116,33.2,1.014764096385542
48000,29.461211399999996,0.9684763822895425,29.6,0.9953111959459457
49000,28.5496372,0.026473826919430683,29.0,0.984470248275862
50000,31.266148400000002,0.4824932015299691,30.8,1.0151346883116883
51000,31.341323799999998,0.011103342134690691,31.0,1.0110104451612902
52000,33.582615999999994,0.10434215591984052,32.0,1.0494567499999998
53000,33.6382958,0.040415910725357086,32.0,1.05119674375
54000,36.4142018,0.19833422255314417,34.0,1.0710059352941177
55000,36.503083000000004,0.004694122708238945,34.0,1.0736200882352942
56000,28.429788000000002,12.691901464845069,39.2,0.725249693877551
57000,29.201065,9.796712007435495,38.2,0.764425785340314
58000,37.579763400000004,15.883971219258697,42.4,0.886315174528302
59000,41.01173240000001,6.291149295715739,41.6,0.985858951923077
60000,12.389721799999998,23.737098081742534,45.2,0.2741088893805309
61000,8.887547399999999,6.169414517138352,45.0,0.19750105333333332
62000,5.0016038,7.966251170220467,45.2,0.11065495132743362
63000,-0.6646102,7.283286866353993,44.8,-0.014835049107142858
64000,0.5218959999999999,5.995586343858455,45.6,0.011445087719298244
65000,3.444168,4.707880863853375,45.2,0.07619840707964601
66000,12.7486246,7.354587182134443,48.8,0.2612423073770492
67000,34.9343272,27.293740278104863,48.0,0.7277984833333333
68000,22.336541399999998,19.844741139345434,50.2,0.4449510239043824
69000,38.945965599999994,25.343780690721946,49.4,0.7883798704453441
70000,21.3210862,26.963944934056155,53.0,0.4022846452830189
71000,19.999226599999997,21.459917848686604,49.8,0.40159089558232924
72000,21.140144600000003,9.509956977687093,53.2,0.3973711390977444
73000,13.5396794,11.529369977475866,52.6,0.2574083536121673
74000,5.2768824,7.247047976605553,59.0,0.0894386847457627
75000,10.3628546,11.174640497105194,59.0,0.1756416033898305
76000,13.133730199999997,12.063931629465468,64.6,0.20330851702786376
77000,8.347465,8.187799808550036,69.0,0.1209777536231884
78000,25.2560424,7.230197378523095,67.2,0.37583396428571425
79000,26.9219612,8.691521137542711,67.0,0.40182031641791044
80000,1.2962935999999996,4.490955220661752,76.2,0.017011727034120728
81000,-3.8911524,4.116886444947667,76.2,-0.051064992125984254
82000,7.873613199999999,2.810117552328116,74.4,0.10582813440860213
83000,9.540236,4.889329355817544,75.0,0.12720314666666666
84000,18.801898,4.2129526833026265,71.4,0.26333190476190477
85000,16.7790688,1.094992344233949,71.4,0.23500096358543418
86000,18.1057376,1.0327840006077944,71.6,0.2528734301675978
87000,16.5609972,4.206043873304338,70.2,0.235911641025641
88000,14.754807200000002,1.8522980474247017,70.2,0.21018243874643877
89000,20.1356846,1.206609168391588,70.8,0.2844023248587571
